id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
18024215,18,Indiana,IN,Adams County,Indianapolis,Berne city,Track,Track,46256,317,6893954,0,39.8967962,-86.0559045,57393,53121,46924,651.134404232586
21011165,21,Kentucky,KY,Campbell County,Silver Grove,Silver Grove city,City,place,41085,859,2932968,1338383,39.040106,-84.400325,47986,39698,38142,288.054738361883
37026044,37,North Carolina,NC,Alamance County,Charlotte,Alamance,Track,Track,28214,980,11133143,54635,35.2896235,-80.9287866,62725,48541,47185,363.952579218895
4702960,47,Tennessee,TN,Anderson County,Oak Ridge,Clinton city,Track,Track,37830,865,83570809,3434093,35.9282873,-84.3438021,0,0,0,0.0
13026153,13,Georgia,GA,Appling County,Thomson,Baxley city,Track,Track,30824,706,116923786,1408935,33.4111348,-82.5012533,48992,27133,42599,271.792511892476
51026764,51,Virginia,VA,Accomack County,Roanoke,Chincoteague,Track,Track,24014,540,7653930,13127,37.2326188,-79.9572186,104719,99604,72341,221.320160510385
36025064,36,New York,NY,Albany County,Albany,Albany city,Track,Track,12205,518,20943060,21908,42.7469391,-73.8808746,89149,300000,34507,58.2921515227129
360211414,36,New York,NY,Albany County,Churchville,Albany city,Track,Track,14428,585,53430981,309837,43.1574111,-77.8489406,95935,82639,63312,220.254186324228
47023120,47,Tennessee,TN,Anderson County,Bulls Gap,Clinton city,Track,Track,37711,423,66595649,21434,36.3024337,-83.0682545,48576,38475,28798,406.052524475563
13023463,13,Georgia,GA,Appling County,Hartsfield,Baxley city,Track,Track,31756,229,351293496,7109989,31.14919,-83.9179482,47434,34268,37798,408.921743934172
45022538,45,South Carolina,SC,Abbeville County,Simpsonville,Abbeville city,Track,Track,29681,864,7712515,0,34.7373354,-82.2632243,43779,32200,41197,369.756285852234
72021216,72,Puerto Rico,PR,Adjuntas Municipio,Guaynabo,Adjuntas,Track,Track,970,787,1649790,6842,18.3908048,-66.1294315,31604,26129,22577,415.685986669272
48022838,48,Texas,TX,Anderson County,Katy,Elkhart,Track,Track,77494,281,5461160,46627,29.7751464,-95.790629,85209,61455,62568,810.817644767057
2402857,24,Maryland,MD,Allegany County,Bethesda,Little Orleans,Track,Track,20816,301,2461642,141694,38.9541484,-77.1108341,170381,191070,80062,363.494048799649
45022038,45,South Carolina,SC,Abbeville County,Hartsville,Abbeville city,Track,Track,29550,843,40161503,738889,34.4033033,-80.0701601,50668,41213,37233,496.350421649023
9022789,9,Connecticut,CT,Fairfield County,Wallingford,Bethel,Track,Track,6492,203,5227304,16182,41.444928,-72.8029718,78565,53110,53053,160.458377323124
2302655,23,Maine,ME,Androscoggin County,Windham,Auburn city,Track,Track,4062,207,31172281,6089318,43.843207,-70.4391426,71322,67224,44660,281.911534916277
55025328,55,Wisconsin,WI,Adams County,Germantown,Adams city,Track,Track,53022,262,5101707,0,43.2066343,-88.1128746,121533,300000,59782,117.888893543132
19022935,19,Iowa,IA,Adair County,Davenport,Greenfield city,Track,Track,52803,563,1592945,0,41.5499122,-90.5664827,65044,300000,43705,168.527753231935
60269,6,California,CA,Alameda County,Oakland,Alameda city,Track,Track,94602,510,747405,0,37.7936093,-122.2079606,58202,48498,45414,1066.12282009712
34021275,34,New Jersey,NJ,Atlantic County,E Brunswick,Absecon city,Track,Track,8816,732,5991223,68516,40.4538994,-74.411108,90611,82171,63854,868.802290941167
2402437,24,Maryland,MD,Allegany County,Waldorf,Little Orleans,Track,Track,20603,301,6043595,55120,38.6477177,-76.9353838,126748,124474,65699,468.385263000025
48029178,48,Texas,TX,Anderson County,Carrollton,Elkhart,Track,Track,75006,972,2528836,0,32.9481362,-96.8946083,64621,57281,32665,300.584847645953
28021435,28,Mississippi,MS,Adams County,Jackson,Cloverdale,Track,Track,39212,601,10592695,0,32.2820671,-90.2675496,51072,44323,30718,327.722957443767
4002463,40,Oklahoma,OK,Adair County,Oklahoma City,Bell,Track,Track,73119,405,2069153,0,35.4344808,-97.5638245,31668,28402,23479,566.383864609389
2402327,24,Maryland,MD,Allegany County,Baltimore,Little Orleans,Track,Track,21234,410,875053,0,39.3964395,-76.5600499,59734,58328,35400,673.62839378473
1022696,1,Alabama,AL,Autauga County,Mount Olive,Autaugaville,Track,Track,35117,205,105701999,497054,33.6819146,-86.9203958,74951,65918,49663,478.005005981772
9023119,9,Connecticut,CT,Fairfield County,Norwich,Bethel,Track,Track,6360,860,5707486,779720,41.518431,-72.0635318,67190,65657,40979,476.606854928686
42023454,42,Pennsylvania,PA,Adams County,Pittsburgh,Abbottstown,Track,Track,15210,412,392889,0,40.4246513,-80.0012947,49590,42783,34129,200.323455197677
17026819,17,Illinois,IL,Adams County,Oak Lawn,Camp Point,Track,Track,60453,708,1396248,0,41.727213,-87.7590953,83672,300000,59252,130.527908393862
39029653,39,Ohio,OH,Adams County,Dayton,Rome,Track,Track,45439,937,7420725,0,39.6827088,-84.1910842,97474,300000,73939,115.160896882634
18023275,18,Indiana,IN,Adams County,Franklin,Berne city,Track,Track,46131,317,136550808,90749,39.5874763,-86.029468,64228,300000,31110,801.000426803644
